Overall rank,Country Code,Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP,Family,Health,Freedom,Corruption,Generosity,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
67,CYP,Cyprus,Southern Europe,Europe (other),Christian,1161000,9240,5.734,1.276,1.028,0.912,0.38,0.046,0.25,26150.6,49.92,0.6801,5.611600943,0.06,6.74,6.73,6.12,14.92,30.67,31.4,73.2,25.3,1.2,0,0.2,0,0,0,#N/A,66.8,7.59,34,1.35,19.72,1.26,86,10.8,0.57,#N/A,108.24,#N/A,#N/A,#N/A,#N/A,#N/A,4,6.84
31,CZE,Czech Republic,Eastern Europe,Europe (other),Atheist,10601000,77220,6.656,1.268,1.326,0.824,0.472,0.036,0.082,20541.528,50.87,0.677,14.62506717,0.275,14.095,19.825,24.005,5.05,50,24.9,23.3,0,76.4,0,0,0,0,0,#N/A,74.1,7.69,33,1.57,14.45,0.6,197,14.4,0.95,57.1,92.7,57,58,57,74,0,1.1,10.5
26,DEU,Germany,Northern Europe,German,Christian,81787000,349360,6.93,1.396,1.358,0.87,0.558,0.268,0.29,44297.186,50.82,0.7583,14.51733515,0.245,11.375,18.735,28.415,4.62,40,31.9,68.7,5.8,24.7,0,0.3,0,0.1,0.3,#N/A,77.5,8.68,30,1.5,11.01,0.95,77,13.4,0.89,56.5,106.2,35,67,66,65,31,4.8,11.3
126,DJI,Djibouti,Sub-Saharan Africa,French,Muslim,914000,23180,4.37,0.44,0.59,0.36,0.46,0.28,0.18,2985.26,47.14,#N/A,5.435239433,0.535,5.305,18.58,42.245,5.86,#N/A,44.6,2.3,96.9,0.2,0,0,0.3,0,0.2,30.9,#N/A,2.77,35,2.91,#N/A,6.48,66,0.5,0.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4,7.84
3,DNK,Denmark,Northern Europe,Europe (other),Christian,5689000,41990,7.548,1.396,1.446,0.866,0.626,0.428,0.318,57254.54,50.27,0.7779,11.78907823,0.095,9.79,17.935,22.35,6.17,55.56,28.7,83.5,4.1,11.8,0.4,0.2,0,0,0,#N/A,88.1,9.22,36,1.71,9.6,1.01,63,10.4,0.88,77,87.98,18,74,16,23,0,3.8,9.2
98,DOM,Dominican Republic,Latin America and Caribbean,Spanish,Christian,10282000,48310,5.202,1.002,1.28,0.642,0.546,0.116,0.17,7628.898,49.94,0.6867,8.777048193,0.485,10.05,15.745,23.115,5.92,40.91,43.7,88,0.1,10.9,0,0,0.9,0.1,0,9.2,82.5,6.54,23,2.41,#N/A,10.05,237,6.9,0.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.1,6.08
68,DZA,Algeria,Middle East and Northern Africa,Arabic,Muslim,39728000,2381740,5.67,1.012,1.074,0.668,0.18,0.146,0.07,4046.334,49.5,0.5966,4.330796789,0.385,6.125,4.34,7.8,11.2,15.84,27.6,1,98,0,0,0,0.2,0,0.8,10.3,73.7,4.01,41,3.04,21.2,1.36,151,0.9,1.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.8,4.72
48,ECU,Ecuador,Latin America and Caribbean,Spanish,Christian,16212000,248360,5.994,0.926,1.158,0.756,0.482,0.142,0.122,6175.568,49.94,0.7389,9.436014941,2.23,13.11,10.685,14.06,3.62,19.64,45.4,94.1,0.01,5.5,0,0,0.3,0,0,11.3,64.2,6.33,23,2.5,8.6,5.8,233,4.4,0.67,#N/A,155.87,78,8,63,67,0,-0.5,5.1
135,EGY,Egypt,Middle East and Northern Africa,Arabic,Muslim,92443000,995450,4.376,0.924,0.864,0.57,0.238,0.09,0.108,3026.732,49.46,0.5935,4.868043987,0.315,7.25,6.86,9.94,13.05,17.27,31.5,11.2,88.9,0,0,0,0,0,0.1,14.6,42.8,3.06,28,3.44,18,2.51,116,0.4,1.46,#N/A,237.95,80,38,52,68,0,-0.6,5.97
36,ESP,Spain,Southern Europe,Spanish,Christian,46672000,499563.9844,6.35,1.298,1.398,0.952,0.412,0.068,0.168,28071.828,50.9,0.7266,8.297691623,0.125,6.895,11.24,17.065,22.06,56.76,34.7,78.6,2.1,19,0.04,0,0.04,0.02,0.1,#N/A,80.8,8.29,36,1.33,9.74,0.62,124,10,1.45,75.5,107.31,57,51,42,86,0,-2.2,9.1
73,EST,Estonia,Northern Europe,Europe (other),Christian,1315000,43470,5.638,1.238,1.364,0.752,0.48,0.17,0.092,20613.216,53.23,0.6997,16.94040164,0.575,16.17,23.54,26.915,6.19,50,30.4,39.9,0.2,59.6,0,0,0,0,0.1,5,69.2,7.9,31,1.58,6.15,2.12,187,11.6,1.13,28.8,85.67,#N/A,#N/A,#N/A,#N/A,#N/A,-1.6,11.6
122,ETH,Ethiopia,Sub-Saharan Africa,African (other),Mixed,100835000,1000000,4.424,0.294,0.764,0.412,0.4,0.148,0.256,751.04,50.01,0.6198,4.99546041,0.65,5.56,20.495,53.11,4.97,#N/A,35,54,42.6,0.06,0,0,2.6,0,1,28.9,21.7,3.44,25,4.57,20.1,7.56,127,2.9,0.49,#N/A,#N/A,64,27,41,52,25,0.8,7.02
6,FIN,Finland,Northern Europe,Europe (other),Christian,5481000,303910,7.538,1.358,1.434,0.874,0.622,0.396,0.216,46318.574,50.78,0.8421,15.37707396,0.305,17.3,20.11,18.05,9.38,55.56,27.4,81.6,0.8,17.6,0,0,0,0,0,#N/A,85.5,9.25,36,1.65,5.63,1.63,53,10.7,0.93,67.6,90.83,33,63,26,59,0,3,9.6
29,FRA,France,Southern Europe,French,Christian,64453000,547556.9922,6.516,1.342,1.32,0.918,0.49,0.184,0.116,38922.546,51.55,0.7089,17.16905077,0.255,15.775,23.565,33.64,10.36,54.29,31.6,63,7.5,28,0.05,0.5,0.3,0.2,0.5,#N/A,81,8.12,36,1.96,12.34,1.2,105,12.6,1.2,49.8,126.99,68,71,43,86,0,1.3,8.9
143,GAB,Gabon,Sub-Saharan Africa,French,Christian,1948000,257670,4.41,1.104,1.026,0.422,0.314,0.078,0.048,7444.714,49.08,#N/A,9.260464602,0.56,8.7,30.155,52.55,20,#N/A,38,76.5,11.2,5.6,0,0,6,0.7,0,15.8,90.1,3.61,34,4.06,#N/A,8.04,241,11.5,0.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.2,7.45
