Overall rank,Country Code,Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP,Family,Health,Freedom,Corruption,Generosity,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
65,JAM,Jamaica,Latin America and Caribbean,English,Christian,2891000,10830,5.662,0.856,1.29,0.688,0.496,0.036,0.174,5151.304,50.3,0.7085,3.946049694,0.205,4.975,5.2,6.14,13.51,20,45.5,77.2,0.4,17.2,0,0,4.5,1,0,8.2,56.3,6.96,10,2.03,#N/A,43.85,138,4.2,0.95,#N/A,#N/A,45,39,68,13,0,-4,7.52
82,JOR,Jordan,Middle East and Northern Africa,Arabic,Muslim,9267000,88780,5.18,0.91,1.13,0.676,0.408,0.13,0.132,4188.824,49.35,0.6093,2.844063401,0.11,4.225,3.93,7.08,13.07,25.49,33.7,2.2,97.2,0,0.1,0.4,0,0,0,10.5,91.4,3.93,24,3.07,18.3,1.4,198,0.7,1.6,#N/A,192.91,#N/A,#N/A,#N/A,#N/A,#N/A,25.6,3.81
46,JPN,Japan,Eastern Asia,Japanese,Atheist,127985000,364560,5.928,1.338,1.328,0.978,0.496,0.164,0.096,38215.82,51.14,0.6498,22.2529704,0.47,19.93,29.365,32.195,3.33,35.42,32.9,1.6,0.2,57,0.02,36.2,0.4,4.7,0,#N/A,91.8,7.99,26,1.45,11.36,0.26,39,8,0.91,#N/A,132.05,54,46,95,92,80,0.6,10.3
54,KAZ,Kazakhstan,Central Asia,Asia (other),Muslim,17572000,2699700,5.84,1.188,1.298,0.636,0.446,0.106,0.154,9403.388,51.58,0.7218,23.62033935,2.03,31.25,31.895,37.38,4.93,26.74,27.5,24.8,70.4,4.2,0,0.2,0.3,0.1,0,5.5,57.7,2.94,40,2.73,23.6,5,156,7.7,0.63,#N/A,128.42,#N/A,#N/A,#N/A,#N/A,#N/A,1.9,7.46
125,KEN,Kenya,Sub-Saharan Africa,English,Christian,47878000,569140,4.45,0.488,0.972,0.41,0.442,0.06,0.39,1568.858,50.33,0.6803,6.324111748,0.54,6.6,25.255,56.875,11.59,#N/A,40.8,84.8,9.7,2.5,0.1,0,1.7,1.2,0,25.2,28,5.18,28,3.77,#N/A,4.93,102,3.4,0.48,#N/A,277.72,64,27,41,52,25,-0.2,5.93
77,KGZ,Kyrgyzstan,Central Asia,Asia (other),Muslim,5959000,191800,5.174,0.542,1.27,0.612,0.466,0.038,0.338,1220.41,50.52,0.6948,9.787087357,1.665,13.255,15.545,16.415,7.56,16.49,27.7,11.4,88,0.4,0,0,0.1,0,0,8.8,36.9,4.89,20,3.2,33.2,2.19,161,6.2,0.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.3,5.8
145,KHM,Cambodia,Southeastern Asia,Asia (other),Buddhist,15521000,176520,4.206,0.548,0.878,0.512,0.638,0.07,0.336,1394.6,51.23,0.6509,4.105520922,0.095,5.045,8.655,11.07,0.18,#N/A,0,0.4,2,0.2,0,96.9,0.6,0,0,22.8,24.2,3.53,45,2.59,21.1,1.84,220,6.7,0.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2,6.1
47,KOR,South Korea,Eastern Asia,Asia (other),Atheist,50823000,97489.00391,5.888,1.314,1.046,0.952,0.248,0.066,0.19,30948.038,49.89,0.6351,29.63449396,0.6,22.995,38.41,88.165,3.63,46.81,31.6,29.4,0.2,46.4,0,22.9,0.8,0.2,0,#N/A,81.4,8,30,1.24,24.78,0.6,109,10.2,0.91,19.9,144.69,60,18,39,85,75,1.6,5.4
39,KWT,Kuwait,Middle East and Northern Africa,Arabic,Muslim,3836000,17820,6.15,1.554,1.186,0.696,0.504,0.186,0.172,30661.68,41.18,0.6292,3.022036871,0.08,3.88,3.28,3.835,2.2,42.31,#N/A,14.3,74.1,0,8.5,2.8,0,0.3,0,5,100,3.93,48,2.08,38.3,1.8,117,0,1.6,#N/A,156.59,80,38,52,68,0,34,2.45
99,LAO,Laos,Southeastern Asia,Asia (other),Buddhist,6741000,230800,4.795,0.6875,0.8375,0.48,0.575,0.1975,0.3375,2388.95,49.85,0.6993,7.890041411,0.45,11.375,11.73,17.2,0.65,#N/A,36.4,1.5,0,0.9,0,66,30.7,0.7,0,25.7,36.3,2.14,15,2.8,23.1,7.01,130,10.4,0.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.5,6.69
103,LBN,Lebanon,Middle East and Northern Africa,Arabic,Mixed,6533000,10230,5.15,1.036,0.994,0.79,0.322,0.058,0.22,7776.948,49.67,0.6028,4.772223385,0.205,7.095,4.865,8.415,6.63,16.84,31.8,47.3,55.3,0.3,0,0.2,0,0,0,11.6,88.9,4.36,37,2.1,#N/A,2.49,144,1.5,2.19,#N/A,184.61,80,38,52,68,0,41.5,4.11
116,LBR,Liberia,Sub-Saharan Africa,English,Christian,4472000,96320,3.84,0.09,0.788,0.302,0.334,0.042,0.238,684.582,49.83,#N/A,7.160035643,0.38,7.76,30.35,70.08,2.27,#N/A,35.3,85.9,20,1.4,0,0,0.5,0.1,0,34.9,52.1,5.45,21,4.54,#N/A,3.23,50,5.8,0.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2,8.21
63,LBY,Libya,Middle East and Northern Africa,Arabic,Muslim,6418000,1759540,5.6,1.066,1.216,0.592,0.444,0.12,0.15,5938.136,49.39,#N/A,8.50960197,0.395,12.33,8.375,12.41,18.36,23.15,#N/A,2.7,96.6,0.2,0,0.3,0,0,0,#N/A,80.7,2.02,22,2.36,#N/A,2.5,139,0,2.58,#N/A,#N/A,80,38,52,68,0,-9.5,5.11
132,LKA,Sri Lanka,Southern Asia,Asia (other),Buddhist,20908000,62710,4.394,0.938,1.142,0.692,0.534,0.068,0.384,3948.152,51.8,0.7019,20.82341197,0.525,23.12,28.835,63.54,4.67,0,39.8,7.3,9.8,0,13.6,70.3,0,0,0,17.1,18.7,6.27,40,2.21,25.2,2.42,105,4.3,0.66,#N/A,274.01,#N/A,#N/A,#N/A,#N/A,#N/A,-4.7,6.37
97,LSO,Lesotho,Sub-Saharan Africa,English,Christian,2059000,30360,4.08,0.465,1.155,0.0825,0.3725,0.1125,0.1375,1145.042,50.85,0.753,27.66374454,0.19,36.465,57.22,86.29,26.98,#N/A,44.9,96.7,0.1,3.1,0,0,0.1,0,0,23.2,29,6.54,22,3.22,#N/A,41.25,92,5,0.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4.7,15.75
56,LTU,Lithuania,Eastern Europe,Europe (other),Christian,2932000,62642.00195,5.928,1.234,1.368,0.71,0.254,0.018,0.026,16933.46,53.95,0.7308,36.80569513,1.015,38.765,51.125,41.64,9.12,41.89,37.3,89.8,0.1,10,0,0,0,0,0,5,68,7.5,34,1.7,14.49,4.57,221,15,0.61,#N/A,94.44,#N/A,#N/A,#N/A,#N/A,#N/A,-9.7,14.4
17,LUX,Luxembourg,Northern Europe,Europe (other),Christian,567000,2430,6.936,1.638,1.344,0.906,0.586,0.338,0.246,108928.178,49.81,0.741,11.82411674,0.19,9.735,17.445,28.67,6.67,65.63,34.9,70.4,2.3,26.8,0,0,0,0.3,0.1,#N/A,91.5,8.81,37,1.47,9.6,0.3,105,13,0.94,52.7,121.21,#N/A,#N/A,#N/A,#N/A,#N/A,18.1,7
89,LVA,Latvia,Northern Europe,Europe (other),Christian,1998000,62180,5.676,1.186,1.274,0.696,0.306,0.07,0.134,15816.114,54.16,0.761,22.54066088,0.43,22.425,31.155,30.82,9.87,46.97,35.6,55.8,0.1,43.8,0,0,0,0.2,0,5,68.3,7.49,32,1.7,13.3,4.36,183,12.9,1.04,13.3,116.67,#N/A,#N/A,#N/A,#N/A,#N/A,-8.1,14.4
82,MAR,Morocco,Middle East and Northern Africa,Arabic,Muslim,34664000,446300,5.172,0.806,0.676,0.65,0.394,0.082,0.042,3046.922,50.46,0.5845,7.352003941,0.445,10.075,9.01,12.83,9.66,#N/A,39.5,0.06,99.9,0,0,0,0,0.01,0.04,9.4,63.5,5.1,25,2.52,#N/A,1.42,237,0.6,1.62,#N/A,131.94,#N/A,#N/A,#N/A,#N/A,#N/A,-2.2,5.12
14,MDA,Moldova,Eastern Europe,Europe (other),Christian,4071000,32890,5.76,0.672,1.146,0.618,0.26,0.01,0.194,3571.022,51.94,0.7037,18.19294851,0.62,17.96,30.875,16.845,3.69,42.47,25.7,97.4,0.6,1.4,0,0,0,0,0.6,#N/A,42.8,5.75,20,1.26,#N/A,4.1,194,15.2,0.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,11.4
93,MDG,Madagascar,Sub-Saharan Africa,French,Christian,24234000,581800,3.744,0.266,0.774,0.436,0.178,0.064,0.194,501.642,50.15,0.7016,6.10464604,0.6,7.25,24.665,49.975,1.8,#N/A,42.6,85.3,3,6.9,0.05,0,4.5,0.1,0,41.5,38.5,5.64,35,4.24,#N/A,7.69,93,1.9,0.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1,6.47
71,MEX,Mexico,Latin America and Caribbean,Spanish,Christian,121858000,1943950,6.728,1.08,1.08,0.77,0.436,0.138,0.104,9432.128,51.1,0.6917,5.892539281,0.955,8.225,6.845,8.185,4.34,17.31,45.4,95.1,0.1,4.7,0,0.07,0.06,0.02,0.06,6.2,80.7,6.09,13,2.22,20.02,29.07,163,6.5,0.8,#N/A,176.55,81,30,69,82,0,-0.7,5.76
66,MKD,North Macedonia,Eastern Europe,Europe (other),Christian,2079000,25220,5.154,0.988,1.104,0.712,0.336,0.052,0.214,5511.278,49.96,0.7013,8.711207811,0.44,7.12,12.985,21.775,26.07,15.63,34.2,59.3,39.3,1.4,0,0,0,0,0,5.6,58.5,5.97,32,1.51,32.4,1.2,112,8.1,0.49,#N/A,93.8,#N/A,#N/A,#N/A,#N/A,#N/A,-0.9,9.8
61,MLI,Mali,Sub-Saharan Africa,French,Muslim,17439000,1220190,4.22,0.362,1.104,0.2,0.336,0.094,0.174,830.656,50,0.5872,3.564229557,0.35,4.295,14.21,32.76,7.73,#N/A,33,3.2,95,0.6,0,0,1.2,0,0,24.1,43.9,4.92,22,6.15,#N/A,10.9,33,1.3,0.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.7,10.65
138,MLT,Malta,Southern Europe,English,Christian,434000,320,6.536,1.286,1.388,0.878,0.59,0.152,0.482,27184.868,49.96,0.6761,5.937345474,0.18,5.64,6.635,12.185,5.39,11.94,29.2,97,0.2,2.5,0.2,0,0,0,0,#N/A,94.7,7.95,41,1.37,9.4,1.59,131,8.1,0.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.3,7.7
94,MMR,Myanmar,Southeastern Asia,Asia (other),Buddhist,52681000,653080,4.386,0.474,0.976,0.454,0.498,0.186,0.726,1334.302,51.8,#N/A,5.123643093,0.16,6.695,7.485,10.34,0.77,#N/A,30.7,7.8,4,0.5,1.7,80.1,5.8,0.2,0,19.8,31.1,3.55,24,2.2,31,2.27,171,4.8,0.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2,8.3
100,MNE,Montenegro,Eastern Europe,Europe (other),Christian,627000,13450,5.292,1.048,1.106,0.728,0.196,0.104,0.156,7807.26,50.57,#N/A,12.31995529,0.565,9.6,19.58,30.955,17.52,21.57,39,78.1,18.7,3.2,0,0,0,0,0,5,67.5,5.65,21,1.72,#N/A,2.23,183,8,0.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1,10.37
52,MNG,Mongolia,Eastern Asia,Asia (other),Buddhist,2998000,1553560,5.03,0.942,1.386,0.592,0.382,0.032,0.302,3935.676,50.57,0.7204,16.56344826,2.935,24.335,16.285,11.63,4.86,32.35,32.7,2.3,3.2,35.9,0,55.1,3.5,0,0,9.7,68.7,6.5,15,2.92,62,6.18,110,7.4,0.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,6.28
92,MOZ,Mozambique,Sub-Saharan Africa,Portuguese,Christian,27042000,786380,4.6025,0.1775,0.9475,0.19,0.46,0.16,0.2375,494.194,51.59,0.7349,9.185057734,0.875,11.74,38.325,78.54,25.3,#N/A,54,56.7,18,17.9,0,0,7.4,0,0,28.8,37.1,3.65,19,5.06,#N/A,3.4,63,2.4,0.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.03
37,MRT,Mauritania,Sub-Saharan Africa,French,Muslim,4046000,1030700,4.356,0.568,1.08,0.344,0.134,0.134,0.178,1583.566,49.89,0.581,3.993579308,0.32,3.905,14.605,35.585,9.85,#N/A,32.6,0.1,99.9,0,0,0,0,0,0,26.7,55.3,3.92,22,4.74,#N/A,9.94,53,0,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3,7.61
124,MUS,Mauritius,Sub-Saharan Africa,French,Hindu,1259000,2030,5.708,1.11,1.15,0.698,0.518,0.056,0.316,10367.75,50.47,0.6599,9.442025448,0.56,13.305,8.13,9.16,7.92,17.07,36.8,25.3,16.7,0.6,56.4,0,0.7,0.3,0,9.6,40.8,8.22,38,1.36,#N/A,2.92,203,3.6,0.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.9,7.7
147,MWI,Malawi,Sub-Saharan Africa,French,Christian,16745000,94280,3.884,0.144,0.434,0.33,0.456,0.078,0.272,369.182,50.73,0.7139,6.919267543,0.705,7.68,27.205,61.125,5.88,#N/A,44.7,82.7,13,2.5,0,0,1.7,0,0,23,17.4,5.5,18,4.53,#N/A,1.73,76,3.7,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1,7.42
131,MYS,Malaysia,Southeastern Asia,English,Muslim,30271000,328550,5.904,1.208,1.132,0.692,0.438,0.07,0.346,10563.056,48.51,0.6518,7.163918043,0.09,7.035,14.29,30.835,3.1,#N/A,41,9.4,63.7,0.7,6,17.7,2.3,0.2,0,13.1,77.2,7.16,19,2.06,19.36,2.11,230,0.9,0.66,#N/A,169.33,104,26,50,36,0,1.7,4.88
,NAM,Namibia,Sub-Saharan Africa,English,Christian,2315000,823290,4.555,0.91,1.0975,0.385,0.4825,0.0775,0.07,5029.734,51.6,0.7094,9.807063132,0.095,13.34,21.725,26.82,19.59,#N/A,59.1,97.5,0.3,1.9,0,0,0.2,0,0,24.9,52,6.43,20,3.54,#N/A,17.14,295,9.8,0.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.3,8.67
57,NER,Niger,Sub-Saharan Africa,French,Muslim,20002000,1266700,4.108,0.126,0.802,0.284,0.386,0.134,0.2,524.216,49.86,#N/A,3.510501538,0.275,4.625,16.66,36.015,0.34,#N/A,34.3,0.8,98.4,0.7,0,0,0,0,0,30.2,16.6,3.29,34,7.17,#N/A,4.44,44,0.5,0.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,9.15
144,NGA,Nigeria,Sub-Saharan Africa,English,Mixed,181136992,910770,5.13,0.714,1.008,0.114,0.38,0.034,0.23,2227.516,49.36,0.6469,3.902364774,0.41,4.225,14.62,45.67,4.31,#N/A,35.1,48,51,0.04,0,0.01,1,0.06,0,27.9,52,4.12,6,5.59,21.4,9.85,36,13.4,0.46,#N/A,311.39,77,20,46,54,16,-0.4,12.69
9,NIC,Nicaragua,Latin America and Caribbean,Spanish,Christian,6223000,120340,6.028,0.676,1.196,0.716,0.488,0.148,0.258,2050.006,50.71,0.7715,6.02647273,0.835,9.035,7.145,6.88,4.48,17.78,46.2,85.8,0,12.5,0,0,1.4,0.1,0,13.3,59,3.55,20,2.48,#N/A,7.37,332,5.2,0.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4.5,5.03
121,NLD,Netherlands,Northern Europe,Europe (other),Christian,16938000,33690,7.406,1.41,1.35,0.878,0.592,0.3,0.414,49070.846,50.29,0.7608,12.21845845,0.22,11.485,18,18.855,6.87,52.63,28.5,50.6,6,42.1,0.5,0.2,0.2,0.2,0.2,#N/A,92.2,9.01,28,1.66,10.91,0.59,61,8.7,0.96,46.1,96.74,38,80,14,53,44,0.7,8.7
4,NOR,Norway,Northern Europe,Europe (other),Christian,5200000,365123.0078,7.54,1.522,1.43,0.876,0.64,0.346,0.33,75493.11,49.65,0.8417,11.06011103,0.37,12.12,15.83,13.96,4.3,42.22,27,84.7,3.7,10.1,0.5,0.6,0,0.2,0,#N/A,83,9.87,35,1.72,6.88,0.47,60,7.5,0.85,57.1,90.83,31,69,8,50,20,8.8,7.8
129,NPL,Nepal,Southern Asia,Asia (other),Hindu,27015000,143350,4.81,0.434,1.04,0.558,0.432,0.074,0.336,918.168,54.11,0.6053,7.856490727,0.635,10.935,11.785,17.955,3.1,#N/A,32.8,0.5,4.6,0.3,80.7,10.3,3.7,0.07,0,20.8,20.6,5.28,28,2.1,44.46,2.16,79,2,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-15.1,6.5
7,NZL,New Zealand,Australia and New Zealand,English,Christian,4615000,263310,7.312,1.318,1.44,0.894,0.618,0.4,0.434,41321.064,50.83,0.7799,11.88124812,0.63,16.495,12.845,11.67,5.37,41.67,#N/A,57,1.2,36.6,2.1,1.6,0.5,0.7,0.2,#N/A,86.7,9.26,31,1.99,7.52,0.7,201,10.7,2.04,72.8,127.5,22,79,58,49,30,4,6.87
22,OMN,Oman,Middle East and Northern Africa,Arabic,Muslim,4267000,309500,6.85,1.36,1.08,0.76,0.63,0.33,0.22,15533.498,34.79,0.6053,3.143345603,0.18,3.96,3.885,7.035,3.32,#N/A,#N/A,6.5,85.9,0.2,5.5,0.8,0,1,0,11.4,86.3,3.06,31,2.94,#N/A,0.27,36,0.8,1.7,#N/A,121.46,#N/A,#N/A,#N/A,#N/A,#N/A,48.5,2.54
81,PAK,Pakistan,Southern Asia,Asia (other),Muslim,199427008,770880,5.342,0.67,0.608,0.454,0.23,0.114,0.282,1391.424,48.53,0.5459,4.30199754,0.545,7.105,4.28,5.505,3.57,#N/A,33.5,1.6,96.4,0.01,1.9,0.01,0.02,0.01,0,28.5,37.2,4.25,29,3.66,65.81,3.88,38,0.3,0.67,#N/A,159.85,55,14,50,70,0,-1.1,7.11
25,PAN,Panama,Latin America and Caribbean,Spanish,Christian,3968000,74340,6.538,1.146,1.288,0.778,0.54,0.07,0.186,14889.642,49.85,0.7164,4.994085055,0.45,6.59,6.87,8.525,4.53,27.03,49.2,93,0.8,4.8,0,0.2,0.4,0.4,0.4,9.2,68.4,7.05,40,2.54,#N/A,9.39,401,7.9,0.72,#N/A,169.51,95,11,44,86,0,1.5,5
58,PER,Peru,Latin America and Caribbean,Spanish,Christian,30471000,1280000,5.728,0.966,1.104,0.702,0.446,0.044,0.12,6612.71,50.33,0.6787,3.116984407,0.285,4.17,4.295,6.22,3,#N/A,42.8,93,0.01,6.5,0.01,0.2,1,0.3,0,8.8,78.3,6.6,34,2.32,23.28,7.7,278,6.3,0.59,#N/A,215.46,64,16,42,87,0,-4.2,5.35
90,PHL,Philippines,Southeastern Asia,Asia (other),Christian,102113000,298170,5.386,0.794,1.154,0.538,0.594,0.112,0.18,3187.018,49.67,0.7832,5.384224818,0.255,7.38,8.315,15.57,3.04,#N/A,44.4,85,5.5,7,0,1.5,1.5,0.1,0.03,20.1,47.4,6.64,17,2.81,17.63,6.46,179,6.6,0.64,#N/A,198.33,94,32,64,44,19,-1.7,5.8
60,POL,Poland,Eastern Europe,Europe (other),Christian,38034000,306190,5.98,1.212,1.334,0.766,0.506,0.054,0.14,13984.286,51.53,0.7031,18.11042677,0.49,19.03,26.98,17.085,7.5,33.33,29.7,94.3,0,5.6,0,0,0,0,0,#N/A,60,6.62,33,1.32,18.67,0.73,195,11.6,0.8,#N/A,114.94,68,60,64,93,0,-1.7,10.4
,PRI,Puerto Rico,Latin America and Caribbean,Spanish,Christian,3382000,8870,7.04,1.36,1.08,0.78,0.47,0.12,0.22,31199.002,52.16,#N/A,7.262129402,0.11,7.155,10.5,11.205,12,#N/A,#N/A,96.7,0.1,1.9,0,0.3,0.8,0.1,0,#N/A,#N/A,#N/A,15,1.34,10.21,21.09,313,0,0.95,#N/A,160.03,#N/A,#N/A,#N/A,#N/A,#N/A,-13.9,8.08
88,PRT,Portugal,Southern Europe,Portuguese,Christian,10368000,91605.5957,5.304,1.234,1.262,0.87,0.506,0.02,0.094,21463.562,52.64,0.7056,12.49615678,0.1,7.665,16.6,31.78,12.44,70.97,33.8,93.8,0.6,4.4,0.1,0.6,0.5,0,0,#N/A,66.3,8.03,35,1.31,9.26,0.79,125,12.3,0.69,103.6,113.62,63,27,31,104,0,-2.7,10.5
53,PRY,Paraguay,Latin America and Caribbean,Spanish,Christian,6689000,397300,5.666,0.856,1.384,0.644,0.504,0.078,0.23,5525.434,49.11,0.6724,5.690833101,0.935,7.93,7.71,9.265,4.56,#N/A,46.2,96.9,0.1,1.1,0,0,1.7,0.2,0,8.3,62.2,6.24,22,2.51,#N/A,7.14,199,7.2,0.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.7,5.42
28,QAT,Qatar,Middle East and Northern Africa,Arabic,Muslim,2566000,11610,6.422,1.742,1.168,0.77,0.604,0.356,0.292,63008.398,23.99,0.6299,5.337030666,0.17,6.21,6.14,7.63,0.16,33.33,#N/A,13.8,67.7,0.9,13.8,3.1,0,0.7,0,#N/A,99.2,3.19,25,1.93,#N/A,0.38,53,2,2,#N/A,142.23,#N/A,#N/A,#N/A,#N/A,#N/A,54.7,1.13
86,ROU,Romania,Eastern Europe,Europe (other),Christian,19925000,230080,5.698,1.142,1.044,0.74,0.434,0.006,0.114,10936.1,51.32,0.6908,12.08517907,0.55,11.58,18.515,16.26,6.81,22.06,36,99.5,0.3,0.1,0,0,0,0,0,5,56.4,6.49,34,1.62,18.32,1.28,107,12.7,0.45,#N/A,129.76,#N/A,#N/A,#N/A,#N/A,#N/A,-3,13.2
64,RUS,Russia,Eastern Europe,Russian,Christian,144984992,16376870,5.8,1.196,1.338,0.628,0.36,0.032,0.046,10338.81,53.67,0.6983,31.17734031,1,38.59,35.35,39.675,5.57,52.17,37.5,73.3,10,16.2,0,0.1,0.2,0,0.2,5.8,74.8,3.11,38,1.78,9.85,8.21,346,11.7,0.96,#N/A,184.38,#N/A,#N/A,#N/A,#N/A,#N/A,2.5,13
154,RWA,Rwanda,Sub-Saharan Africa,English,Christian,11369000,24670,3.44,0.322,0.79,0.418,0.582,0.474,0.228,772.002,50.9,#N/A,6.210525039,0.635,6.18,24.075,60.8,1.16,#N/A,43.7,93.4,4.8,3.6,0,0,1,0.2,0,29.1,17.4,3.16,26,4.16,#N/A,2.52,511,9,0.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2,5.6
35,SAU,Saudi Arabia,Middle East and Northern Africa,Arabic,Muslim,31718000,2149690,6.376,1.44,1.182,0.666,0.418,0.232,0.124,21557.946,43.12,0.5879,3.094039745,0.06,3.82,4.665,6.605,5.59,21.15,#N/A,4.4,93,0.7,1.1,0.3,0.3,0.3,0,8.5,84.3,1.93,30,2.51,22.5,1.3,197,0.2,1.68,#N/A,131.67,80,38,52,68,0,11.7,3.41
118,SDN,Sudan,Sub-Saharan Africa,Arabic,Muslim,38903000,,4.2425,0.605,1.07,0.3175,0.0325,0.105,0.17,1077.25,50.07,#N/A,4.111637787,0.39,7,6.15,8.325,12.78,#N/A,35.4,5.4,90.7,1,0,0,2.8,0,0,32.8,35.3,2.7,20,4.59,#N/A,5.16,52,0.5,1.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.9,7.43
142,SEN,Senegal,Sub-Saharan Africa,French,Muslim,14578000,192530,4.392,0.432,1.036,0.45,0.352,0.1,0.174,1352.654,51.37,0.6923,7.577820662,0.53,7.025,29.48,72.815,4.85,#N/A,40.3,5,92,0.2,0,0,2.8,0,0,17.9,48.1,5.81,32,4.84,#N/A,7.38,68,0.7,0.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.1,6.14
24,SGP,Singapore,Southeastern Asia,English,Mixed,5592000,709.0000153,6.542,1.592,1.23,1.016,0.554,0.466,0.304,60962.146,47.67,0.7,9.016076559,0.31,8.545,12.405,24.525,1.69,27.94,#N/A,18.2,14.3,16.4,5.2,33.9,2.3,9.7,0,#N/A,100,6.02,18,1.24,19,0.16,199,2,0.91,#N/A,147.77,74,20,48,8,48,11.8,4.8
123,SLE,Sierra Leone,Sub-Saharan Africa,English,Muslim,7172000,72180,4.56,0.318,0.844,0.05,0.342,0.068,0.246,525.496,50.17,#N/A,5.797440155,0.42,6.55,21.115,48.37,4.7,#N/A,35.7,21,78,0.1,0,0,1,0,0,30.4,42.9,4.86,18,4.56,#N/A,1.71,60,5.7,0.49,#N/A,#N/A,77,20,46,54,16,-0.6,12.63
42,SLV,El Salvador,Latin America and Caribbean,Spanish,Christian,6325000,20720,6.124,0.828,1.098,0.662,0.418,0.094,0.088,3935.348,52.98,0.6609,10.18205641,0.995,14.195,12.245,14.145,4,22.86,38.6,88.2,0.1,11,0,0,0.5,0.3,0,9.6,73.4,6.15,26,2.1,#N/A,52.02,590,3.8,0.6,#N/A,#N/A,66,19,40,94,0,-7.7,6.96
,SOM,Somalia,Sub-Saharan Africa,Arabic,Muslim,13797000,627340,5.06,0.005,0.6175,0.1525,0.6,0.285,0.26,0,50.11,#N/A,5.087263896,0.555,6.165,23.455,44.975,6.08,#N/A,#N/A,0.01,99.8,0,0,0,0,0,0,#N/A,46.1,#N/A,22,6.36,#N/A,4.31,#N/A,0,0.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.6,11.53
87,SRB,Serbia,Eastern Europe,Europe (other),Christian,8877000,87460,5.338,1,1.166,0.718,0.228,0.038,0.178,6454.846,50.98,0.7116,18.61624588,0.24,12.66,27.11,52.845,17.92,25.49,36.2,92.5,4.2,3.3,0,0,0,0,0,6.5,56.4,6.41,31,1.46,23.3,1.23,156,11.1,0.45,#N/A,110.26,#N/A,#N/A,#N/A,#N/A,#N/A,0.7,14.6
,SSD,South Sudan,Sub-Saharan Africa,English,Christian,10716000,,3.38,0.36,0.495,0.2,0.1175,0.1125,0.2425,223.93,49.98,#N/A,5.930095311,0.68,7.05,26.33,62.44,11.99,#N/A,46.3,60.5,20,0.5,0,0,32.9,0,0,#N/A,20.2,#N/A,32,4.94,#N/A,13.9,50,0,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2,10.83
40,SUR,Suriname,Latin America and Caribbean,Europe (other),Christian,559000,156000,6.27,1.05,0.875,0.56,0.56,0.135,0.17,6517.294,49.69,0.6369,25.57791943,1.375,30.76,38.715,56.48,7.22,30.95,57.6,51.6,15.2,5.4,19.8,0.6,5.3,1.8,0.2,10.8,66.1,6.98,30,2.49,#N/A,5.5,183,5.1,0.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.8,7.16
